FIPS,Year,SubUseDisDeaths,Population
12033,2007,60,278183
12033,2008,71,277488
12035,2003,15,55849
12035,2004,11,61853
12035,2006,14,75961
12035,2007,25,81666
12035,2008,12,84367
12039,2007,14,43336
12043,2007,10,11410
12051,2004,12,35308
12051,2006,12,37068
12051,2007,10,37282
12053,1999,13,110854
12053,2000,18,111821
12053,2001,32,114800
12053,2002,37,118272
12053,2003,24,122863
12053,2004,29,129431
12053,2005,38,136819
12053,2006,43,143867
12053,2007,61,149047
12053,2008,70,151432
12055,1999,12,72886
12055,2000,11,73444
12055,2001,11,74281
12055,2002,14,75610
12055,2003,20,76344
12055,2004,28,78318
12055,2005,16,80667
12055,2006,21,82685
12055,2007,14,83790
12055,2008,17,84115
12057,1999,161,930089
12057,2000,182,943050
12057,2001,209,971392
12057,2002,247,996919
12057,2003,240,1018068
12057,2004,247,1047590
12057,2005,279,1081175
12057,2006,300,1108981
12057,2007,389,1121519
12057,2008,359,1132717
